time	V(n002)
1.058783993106877e-02	4.260751e+00
1.068430254267592e-02	4.258891e+00
1.089206816767592e-02	4.254887e+00
1.109983379267592e-02	4.250887e+00
1.130759941767592e-02	4.246890e+00
1.151536504267592e-02	4.242898e+00
1.172313066767593e-02	4.238909e+00
1.193089629267593e-02	4.234924e+00
1.213866191767593e-02	4.230943e+00
1.247999115874736e-02	4.224410e+00
1.282132039981879e-02	4.217888e+00
1.316264964089022e-02	4.211375e+00
1.350397888196166e-02	4.204873e+00
1.384530812303309e-02	4.198381e+00
1.418663736410452e-02	4.191898e+00
1.452796660517595e-02	4.185426e+00
1.493607765428309e-02	4.177701e+00
1.534418870339023e-02	4.169990e+00
1.575229975249737e-02	4.162293e+00
1.616041080160451e-02	4.154610e+00
1.656852185071164e-02	4.146941e+00
1.697663289981878e-02	4.139287e+00
1.738474394892592e-02	4.131647e+00
1.762219037749734e-02	4.127208e+00
1.785963680606876e-02	4.122774e+00
1.809708323464019e-02	4.118345e+00
1.833452966321161e-02	4.113921e+00
1.857197609178303e-02	4.109501e+00
1.880942252035445e-02	4.105086e+00
1.904686894892588e-02	4.100676e+00
1.916559216321159e-02	4.098473e+00
1.928431537749730e-02	4.096270e+00
1.940303859178301e-02	4.094069e+00
1.952176180606872e-02	4.091870e+00
1.964048502035443e-02	4.089671e+00
1.975920823464014e-02	4.087474e+00
1.987793144892586e-02	4.085278e+00
2.024152129267585e-02	4.078559e+00
2.039734551142584e-02	4.075683e+00
2.055316973017584e-02	4.072809e+00
2.070899394892584e-02	4.069937e+00
2.086481816767583e-02	4.067067e+00
2.102064238642583e-02	4.064199e+00
2.117646660517582e-02	4.061334e+00
2.133229082392582e-02	4.058470e+00
2.155489685071153e-02	4.054382e+00
2.177750287749724e-02	4.050298e+00
2.200010890428295e-02	4.046219e+00
2.222271493106866e-02	4.042144e+00
2.244532095785436e-02	4.038073e+00
2.266792698464007e-02	4.034005e+00
2.289053301142578e-02	4.029943e+00
2.294247441767578e-02	4.028995e+00
2.299441582392578e-02	4.028048e+00
2.304635723017578e-02	4.027101e+00
2.309829863642578e-02	4.026154e+00
2.315024004267578e-02	4.025208e+00
2.320218144892577e-02	4.024261e+00
2.325412285517577e-02	4.023316e+00
2.330606426142577e-02	4.022371e+00
2.335800566767577e-02	4.021429e+00
2.340994707392577e-02	4.020492e+00
2.345326454234354e-02	4.019718e+00
2.348739694214762e-02	4.019118e+00
2.352388184222057e-02	4.018495e+00
2.355869982300012e-02	4.017929e+00
2.359461823441699e-02	4.017397e+00
2.363115146200853e-02	4.016945e+00
2.366880336353769e-02	4.016637e+00
2.370789033564463e-02	4.016600e+00
2.374896622979747e-02	4.017074e+00
2.379313009584820e-02	4.018540e+00
2.384275761627828e-02	4.021949e+00
2.389469902252828e-02	4.028222e+00
2.394664042877828e-02	4.037920e+00
2.399858183502828e-02	4.051237e+00
2.405052324127828e-02	4.067717e+00
2.410246464752827e-02	4.086467e+00
2.415440605377827e-02	4.106495e+00
2.420634746002827e-02	4.126953e+00
2.425828886627827e-02	4.147238e+00
2.431023027252827e-02	4.166960e+00
2.436217167877827e-02	4.185878e+00
2.446605449127827e-02	4.220796e+00
2.452541609842112e-02	4.238813e+00
2.458477770556398e-02	4.255441e+00
2.464413931270683e-02	4.270677e+00
2.470350091984969e-02	4.284522e+00
2.476286252699254e-02	4.296977e+00
2.482222413413540e-02	4.308041e+00
2.488158574127826e-02	4.317714e+00
2.493352714752825e-02	4.325189e+00
2.498546855377825e-02	4.331728e+00
2.503740996002825e-02	4.337373e+00
2.508935136627825e-02	4.342169e+00
2.514129277252825e-02	4.346169e+00
2.519323417877825e-02	4.349427e+00
2.524517558502825e-02	4.352005e+00
2.529711699127824e-02	4.353966e+00
2.534905839752824e-02	4.355375e+00
2.540099980377824e-02	4.356300e+00
2.545294121002824e-02	4.356808e+00
2.550488261627824e-02	4.356965e+00
2.555682402252824e-02	4.356830e+00
2.560876542877824e-02	4.356462e+00
2.566070683502824e-02	4.355909e+00
2.571264824127823e-02	4.355217e+00
2.576458964752823e-02	4.354420e+00
2.581653105377823e-02	4.353547e+00
2.586847246002823e-02	4.352622e+00
2.592041386627823e-02	4.351661e+00
2.597235527252823e-02	4.350676e+00
2.601984569563789e-02	4.349762e+00
2.606415120670024e-02	4.348902e+00
2.610681320168547e-02	4.348070e+00
2.615670382371389e-02	4.347093e+00
2.620864522996388e-02	4.346073e+00
2.626058663621388e-02	4.345053e+00
