time	V(n002)
1.500395301156172e-02	4.255267e+00
1.555304787763315e-02	4.251886e+00
1.610214274370457e-02	4.248509e+00
1.665123760977600e-02	4.245134e+00
1.720033247584742e-02	4.241761e+00
1.744519910531170e-02	4.240258e+00
1.769006573477598e-02	4.238755e+00
1.793493236424026e-02	4.237253e+00
1.817979899370454e-02	4.235752e+00
1.842466562316882e-02	4.234251e+00
1.866953225263310e-02	4.232751e+00
1.891439888209738e-02	4.231251e+00
1.904796249816881e-02	4.230433e+00
1.918152611424023e-02	4.229615e+00
1.931508973031166e-02	4.228798e+00
1.944865334638308e-02	4.227980e+00
1.958221696245451e-02	4.227163e+00
1.971578057852593e-02	4.226346e+00
1.984934419459736e-02	4.225529e+00
1.990128560084736e-02	4.225211e+00
1.995322700709735e-02	4.224894e+00
2.000516841334735e-02	4.224576e+00
2.005710981959735e-02	4.224258e+00
2.010905122584735e-02	4.223941e+00
2.016099263209735e-02	4.223623e+00
2.021293403834735e-02	4.223306e+00
2.036875825709734e-02	4.222353e+00
2.052458247584734e-02	4.221401e+00
2.068040669459734e-02	4.220449e+00
2.083623091334733e-02	4.219497e+00
2.099205513209733e-02	4.218546e+00
2.114787935084732e-02	4.217594e+00
2.130370356959732e-02	4.216643e+00
2.156341060084731e-02	4.215059e+00
2.182311763209731e-02	4.213475e+00
2.208282466334730e-02	4.211891e+00
2.234253169459730e-02	4.210308e+00
2.260223872584729e-02	4.208726e+00
2.286194575709728e-02	4.207144e+00
2.312165278834728e-02	4.205563e+00
2.317359419459727e-02	4.205247e+00
2.322553560084727e-02	4.204931e+00
2.327747700709727e-02	4.204615e+00
2.332941841334727e-02	4.204298e+00
2.338135981959727e-02	4.203982e+00
2.343330122584727e-02	4.203667e+00
2.348524263209727e-02	4.203351e+00
2.353113100339174e-02	4.203072e+00
2.357384047258285e-02	4.202813e+00
2.361830690468732e-02	4.202543e+00
2.365959256779667e-02	4.202294e+00
2.370125853363750e-02	4.202044e+00
2.374274323020103e-02	4.201797e+00
2.378493598951367e-02	4.201552e+00
2.382810735800955e-02	4.201309e+00
2.387260550927519e-02	4.201072e+00
2.391875461881366e-02	4.200853e+00
2.396690927247846e-02	4.200672e+00
2.401752492614618e-02	4.200564e+00
2.406946633239617e-02	4.200595e+00
2.412140773864617e-02	4.200849e+00
2.417334914489617e-02	4.201441e+00
2.422529055114617e-02	4.202515e+00
2.427723195739617e-02	4.204242e+00
2.432917336364617e-02	4.206794e+00
2.438111476989617e-02	4.210314e+00
2.443305617614617e-02	4.214880e+00
2.448499758239616e-02	4.220476e+00
2.453693898864616e-02	4.226984e+00
2.458888039489616e-02	4.234204e+00
2.464082180114616e-02	4.241889e+00
2.469276320739616e-02	4.249782e+00
2.474470461364616e-02	4.257647e+00
2.479664601989616e-02	4.265284e+00
2.484858742614615e-02	4.272533e+00
2.490052883239615e-02	4.279281e+00
2.495247023864615e-02	4.285448e+00
2.510829445739615e-02	4.300138e+00
2.516023586364615e-02	4.303766e+00
2.521217726989615e-02	4.306801e+00
2.526411867614614e-02	4.309284e+00
2.531606008239614e-02	4.311266e+00
2.536800148864614e-02	4.312801e+00
2.541994289489614e-02	4.313947e+00
2.547188430114614e-02	4.314760e+00
2.552382570739614e-02	4.315297e+00
2.557576711364614e-02	4.315609e+00
2.562770851989614e-02	4.315745e+00
2.567964992614613e-02	4.315744e+00
2.573159133239613e-02	4.315642e+00
2.578353273864613e-02	4.315467e+00
2.583547414489613e-02	4.315239e+00
2.588741555114613e-02	4.314977e+00
2.593935695739613e-02	4.314690e+00
2.598693287494585e-02	4.314415e+00
2.603093907303734e-02	4.314152e+00
2.607255915659102e-02	4.313900e+00
2.611232325146367e-02	4.313655e+00
2.615059468917554e-02	4.313419e+00
2.618771924611425e-02	4.313189e+00
2.622404074966977e-02	4.312963e+00
2.625990674758259e-02	4.312740e+00
2.629570274932440e-02	4.312517e+00
2.633186236360936e-02	4.312291e+00
2.636889628282901e-02	4.312060e+00
2.640740056415241e-02	4.311820e+00
2.644932930887918e-02	4.311558e+00
2.650127071512918e-02	4.311234e+00
2.655321212137918e-02	4.310910e+00
2.660515352762918e-02	4.310586e+00
2.665709493387917e-02	4.310262e+00
2.676097774637917e-02	4.309614e+00
2.702810497852202e-02	4.307948e+00
2.729523221066487e-02	4.306283e+00
2.756235944280772e-02	4.304618e+00
2.782948667495058e-02	4.302954e+00
2.809661390709342e-02	4.301290e+00
2.836374113923628e-02	4.299628e+00
2.863086837137913e-02	4.297966e+00
2.878669259012912e-02	4.296996e+00
2.894251680887912e-02	4.296027e+00
2.909834102762911e-02	4.295059e+00
2.925416524637911e-02	4.294090e+00
2.940998946512911e-02	4.293122e+00
2.956581368387910e-02	4.292153e+00
2.972163790262910e-02	4.291185e+00
2.980326011245053e-02	4.290679e+00
2.988488232227195e-02	4.290172e+00
2.996650453209338e-02	4.289665e+00
3.004812674191481e-02	4.289158e+00
3.012974895173623e-02	4.288651e+00
3.021137116155766e-02	4.288145e+00
3.029299337137908e-02	4.287638e+00
3.045623779102194e-02	4.286625e+00
3.061948221066479e-02	4.285613e+00
3.078272663030764e-02	4.284600e+00
3.094597104995050e-02	4.283588e+00
3.110921546959335e-02	4.282576e+00
3.127245988923620e-02	4.281564e+00
3.143570430887906e-02	4.280552e+00
3.171025174191476e-02	4.278852e+00
3.198479917495047e-02	4.277152e+00
3.225934660798618e-02	4.275452e+00
3.253389404102189e-02	4.273754e+00
3.280844147405759e-02	4.272056e+00
3.308298890709330e-02	4.270359e+00
3.335753634012901e-02	4.268662e+00
3.390663120620042e-02	4.265271e+00
3.445572607227184e-02	4.261882e+00
3.500482093834326e-02	4.258496e+00
3.555391580441467e-02	4.255113e+00
3.610301067048608e-02	4.251733e+00
3.665210553655750e-02	4.248355e+00
3.720120040262891e-02	4.244980e+00
3.744606703209320e-02	4.243476e+00
3.769093366155747e-02	4.241972e+00
3.793580029102175e-02	4.240469e+00
3.818066692048603e-02	4.238966e+00
3.842553354995031e-02	4.237464e+00
3.867040017941459e-02	4.235963e+00
3.891526680887887e-02	4.234462e+00
