time	V(n002)
9.774462723046939e-03	2.040106e-02
9.816436909563169e-03	6.070078e-03
9.834492502459822e-03	2.900986e-03
9.848254535352359e-03	1.774743e-03
9.867302673648966e-03	8.812736e-04
9.883749449853122e-03	4.278449e-04
9.901260475632574e-03	1.695108e-04
9.921266495755025e-03	1.148807e-05
9.942178191034115e-03	-7.088130e-05
9.966260244013625e-03	-1.143692e-04
9.991980231959616e-03	-1.324161e-04
1.007546325579695e-02	-1.407898e-04
1.020102129151124e-02	-1.333997e-04
1.032657932722553e-02	-1.266650e-04
1.045213736293982e-02	-1.205856e-04
1.057769539865410e-02	-1.151616e-04
1.070325343436839e-02	-1.103929e-04
1.082881147008268e-02	-1.062796e-04
1.095436950579697e-02	-1.028216e-04
1.119153468436840e-02	-9.654794e-05
1.142869986293983e-02	-9.049688e-05
1.166586504151126e-02	-8.466840e-05
1.190303022008270e-02	-7.906250e-05
1.214019539865413e-02	-7.367919e-05
1.237736057722556e-02	-6.851845e-05
1.261452575579699e-02	-6.358030e-05
1.304002798793985e-02	-5.443661e-05
1.346553022008272e-02	-4.527057e-05
1.389103245222558e-02	-3.608218e-05
1.431653468436844e-02	-2.687146e-05
1.474203691651131e-02	-1.763838e-05
1.516753914865417e-02	-8.382966e-06
1.559304138079703e-02	8.947954e-07
1.592786280936847e-02	8.119053e-06
1.626268423793990e-02	1.534989e-05
1.659750566651133e-02	2.258729e-05
1.693232709508277e-02	2.983127e-05
1.726714852365420e-02	3.708183e-05
1.760196995222563e-02	4.433896e-05
1.793679138079706e-02	5.160266e-05
1.813907932722564e-02	5.586453e-05
1.834136727365421e-02	6.047306e-05
1.854365522008279e-02	6.542827e-05
1.874594316651136e-02	7.073014e-05
1.894823111293994e-02	7.637869e-05
1.915051905936851e-02	8.237391e-05
1.935280700579708e-02	8.871579e-05
1.943651236293994e-02	9.105822e-05
1.952021772008280e-02	9.422407e-05
1.960392307722566e-02	9.821335e-05
1.968762843436852e-02	1.030261e-04
1.977133379151138e-02	1.086622e-04
1.985503914865424e-02	1.151218e-04
1.993874450579709e-02	1.224047e-04
1.998757263079709e-02	1.406753e-04
2.003640075579709e-02	2.213068e-04
2.008522888079710e-02	5.354646e-04
2.011993141726306e-02	1.249031e-03
2.014639399353445e-02	2.636729e-03
2.016956929566536e-02	5.289795e-03
2.019524321925904e-02	1.081730e-02
2.021908445639339e-02	1.954029e-02
2.024698119734634e-02	3.546410e-02
2.028704637779914e-02	6.742503e-02
2.033587450279914e-02	1.163148e-01
2.038470262779914e-02	1.726633e-01
2.043353075279914e-02	2.338743e-01
2.048235887779914e-02	2.981950e-01
2.058001512779914e-02	4.321579e-01
2.067069593137057e-02	5.611864e-01
2.076137673494200e-02	6.902612e-01
2.085205753851343e-02	8.193823e-01
2.094273834208486e-02	9.485497e-01
2.103341914565629e-02	1.077763e+00
2.112409994922772e-02	1.207024e+00
2.121478075279915e-02	1.336330e+00
2.143101959208487e-02	1.641681e+00
2.164725843137058e-02	1.934663e+00
2.186349727065630e-02	2.215275e+00
2.207973610994202e-02	2.483517e+00
2.229597494922773e-02	2.739390e+00
2.251221378851345e-02	2.982894e+00
2.272845262779917e-02	3.214027e+00
2.314000396708489e-02	3.607935e+00
2.355155530637061e-02	3.923638e+00
2.396310664565633e-02	4.161137e+00
2.437465798494205e-02	4.320430e+00
2.478620932422777e-02	4.401518e+00
2.519776066351349e-02	4.404402e+00
2.560931200279921e-02	4.329081e+00
2.592320709208493e-02	4.206960e+00
2.623710218137065e-02	4.044270e+00
2.655099727065637e-02	3.841010e+00
2.686489235994209e-02	3.597180e+00
2.717878744922780e-02	3.312781e+00
2.749268253851352e-02	2.987811e+00
2.780657762779924e-02	2.622272e+00
2.798096378851353e-02	2.407673e+00
2.815534994922782e-02	2.186943e+00
2.832973610994211e-02	1.960082e+00
2.850412227065640e-02	1.727090e+00
2.867850843137068e-02	1.487967e+00
2.885289459208497e-02	1.242713e+00
2.902728075279926e-02	9.913280e-01
2.909005977065640e-02	9.007299e-01
2.915283878851355e-02	8.105385e-01
2.921561780637069e-02	7.207538e-01
2.927839682422783e-02	6.313758e-01
2.934117584208498e-02	5.424044e-01
2.940395485994212e-02	4.538397e-01
2.946673387779927e-02	3.656817e-01
2.951556200279927e-02	2.990314e-01
2.956439012779927e-02	2.341824e-01
2.961321825279927e-02	1.721660e-01
2.966204637779927e-02	1.148487e-01
2.971087450279927e-02	6.563219e-02
2.975970262779927e-02	2.806682e-02
2.979191999869963e-02	1.283971e-02
2.982978013196422e-02	3.670178e-03
2.984142280664946e-02	2.219218e-03
2.985649186593602e-02	1.316636e-03
2.987487073234938e-02	6.491245e-04
2.989327013146285e-02	2.723894e-04
2.991187689616250e-02	7.348831e-05
2.993372166849224e-02	-4.308904e-05
2.995692475049279e-02	-1.008293e-04
2.998466741105168e-02	-1.292172e-04
3.005076895639724e-02	-1.413867e-04
3.016935154568295e-02	-1.346223e-04
3.028793413496867e-02	-1.283807e-04
3.040651672425439e-02	-1.226618e-04
3.052509931354010e-02	-1.174657e-04
3.064368190282582e-02	-1.127923e-04
3.076226449211153e-02	-1.086417e-04
3.088084708139725e-02	-1.050139e-04
3.111103681354010e-02	-9.872336e-05
3.134122654568294e-02	-9.268259e-05
3.157141627782580e-02	-8.689156e-05
3.180160600996864e-02	-8.135027e-05
3.203179574211149e-02	-7.605872e-05
3.226198547425434e-02	-7.101691e-05
3.249217520639718e-02	-6.622483e-05
3.288977565282573e-02	-5.768312e-05
3.328737609925428e-02	-4.912146e-05
3.368497654568283e-02	-4.053985e-05
3.408257699211138e-02	-3.193829e-05
3.448017743853993e-02	-2.331679e-05
3.487777788496848e-02	-1.467534e-05
3.527537833139702e-02	-6.013950e-06
